"Lipid","VIP","SubClass"
"DG(20:1)",1.97071579875238,"Diacylglycerol"
"PC(38:2)",1.86469966307781,"Glycerophosphocholine"
"TG(56:6)",1.82527632753095,"Triacylglycerol"
"PC(18:3)",1.7448238378383,"Glycerophosphocholine"
"TG(54:5)",1.70373197296059,"Triacylglycerol"
"PE(34:3)",1.68446882054439,"Glycerophosphoethanolamine"
"PC(32:3)",1.6837862213377,"Glycerophosphocholine"
"SQDG(36:6)",1.66147912623627,"Sulfoquinovosyldiacylglycerol"
"DG(34:3)",1.65458330034853,"Diacylglycerol"
"TG(54:7)",1.65080564132008,"Triacylglycerol"
"SQDG(34:3)",1.61013988315727,"Sulfoquinovosyldiacylglycerol"
"TG(54:8)",1.6014466686093,"Triacylglycerol"
"MG(18:2)",1.59446800750975,"Monoacylglycerol"
"TG(46:0)",1.57594552500658,"Triacylglycerol"
"SQDG(34:1)",1.5732795573939,"Sulfoquinovosyldiacylglycerol"
"SQDG(34:4)",1.56498459671464,"Sulfoquinovosyldiacylglycerol"
"PE(36:3)",1.55921953951926,"Glycerophosphoethanolamine"
"TG(54:6)",1.5115226453819,"Triacylglycerol"
"MG(16:0)",1.50240516999475,"Monoacylglycerol"
"TG(54:9)",1.49780100293931,"Triacylglycerol"
"PC(32:0)",1.4751508853448,"Phosphatidylcholine"
"TG(56:8)",1.44429262159295,"Triacylglycerol"
"TG(48:0)",1.43662909372161,"Triacylglycerol"
"TG(48:1)",1.38516412541547,"Triacylglycerol"
"PC(36:4)",1.37400375639497,"Glycerophosphocholine"
"DG(36:3)",1.372685530067,"Diacylglycerol"
"PC(36:3)",1.37208899496138,"Glycerophosphocholine"
"SQDG(36:4)",1.37136029977505,"Sulfoquinovosyldiacylglycerol"
"MG(20:4)",1.35603840479798,"Monoacylglycerol"
"SQDG(32:0)",1.30444995294686,"Sulfoquinovosyldiacylglycerol"
"TG(48:5)",1.28947971439833,"Triacylglycerol"
"PC(38:5)",1.26963294104048,"Glycerophosphocholine"
"MGDG(34:3)",1.26235048426753,"Glycosyldiacylglycerol"
"PC(34:1)",1.25740193386386,"Glycerophosphocholine"
"TG(46:1)",1.22361882472577,"Triacylglycerol"
"TG(54:4)",1.21894315009328,"Triacylglycerol"
